season,week,date,winner,winner_pts,loser,loser_pts,winner_venue,notes
1869,1,1869-11-06,Rutgers,6,Princeton,4,home,
1869,2,1869-11-13,Princeton,8,Rutgers,0,home,
1870,1,1870-11-05,Rutgers,6,Columbia,3,home,
1870,2,1870-11-12,Princeton,6,Rutgers,2,home,
1872,1,1872-11-02,Rutgers,0,Columbia,0,away,
1872,2,1872-11-09,Rutgers,7,Columbia,5,home,
1872,3,1872-11-16,Princeton,4,Rutgers,1,home,
1872,3,1872-11-16,Yale,3,Columbia,0,home,
1872,4,1872-11-23,Columbia,6,Stevens,0,home,
1874,1,1874-10-24,Rutgers,6,Columbia,1,home,
1874,2,1874-10-31,Stevens,4,Columbia,2,home,
1874,2,1874-11-01,Stevens,6,Rutgers,0,away,
1874,3,1874-11-07,Princeton,6,Columbia,0,home,
1874,4,1874-11-10,Stevens,6,New York University,0,home,
1874,4,1874-11-14,Columbia,4,Rutgers,1,home,
1874,5,1874-11-18,Princeton,6,Rutgers,0,home,
1874,5,1874-11-18,Yale,6,Stevens,0,home,
1874,5,1874-11-21,Yale,5,Columbia,1,home,
1874,6,1874-12-05,Yale,6,Columbia,1,home,
1875,1,1875-10-17,Stevens,5,New York University,0,home,
1875,2,1875-10-24,Rutgers,6,Stevens,0,home,
1875,3,1875-10-30,Harvard,1,Canada All-Stars,0,away,
1875,3,1875-10-31,Stevens,6,City College of New York,0,home,
1875,4,1875-11-02,Columbia,1,Rutgers,1,away,
1875,4,1875-11-04,Columbia,2,Stevens,1,away,
1875,4,1875-11-06,Columbia,5,City College of New York,0,away,
1875,4,1875-11-06,Harvard,1,Tufts,0,away,
1875,4,1875-11-06,Yale,4,Rutgers,1,home,
1875,5,1875-11-11,Stevens,6,City College of New York,0,home,
1875,5,1875-11-13,Harvard,4,Yale,0,away,
1875,5,1875-11-13,Princeton,6,Columbia,2,home,
1875,6,1875-11-20,Columbia,6,City College of New York,0,home,
1875,6,1875-11-20,Harvard,1,Canada All-Stars,0,home,
1875,6,1875-11-20,Princeton,6,Stevens,0,home,
1875,6,1875-11-20,Yale,6,Wesleyan (CT),0,home,
1875,7,1875-12-04,Columbia,3,Yale,2,away,
1876,1,1876-11-01,Princeton,6,Pennsylvania,0,away,
1876,1,1876-11-01,Rutgers,3,Stevens,2,home,
1876,1,1876-11-04,Harvard,2,Canada All-Stars,0,away,
1876,1,1876-11-04,Stevens,5,Columbia,3,home,
1876,2,1876-11-11,Harvard,1,McGill,0,home,
1876,2,1876-11-11,Princeton,3,Columbia,0,away,
1876,2,1876-11-11,Stevens,8,New York University,0,home,
1876,3,1876-11-17,Pennsylvania,4,Philadelphia All-Stars,0,home,
1876,3,1876-11-18,Columbia,4,Stevens,0,home,
1876,3,1876-11-18,Yale,1,Harvard,0,home,
1876,4,1876-11-25,Princeton,6,Pennsylvania,0,home,
1876,5,1876-11-30,Yale,2,Princeton,0,neutral,
1876,6,1876-12-09,Yale,2,Columbia,0,away,
1876,7,1877-03-03,Harvard,1,Princeton,0,home,
1877,1,1877-10-27,Harvard,6,Columbia,0,away,
1877,1,1877-10-27,Stevens,4,Rutgers,1,home,
1877,2,1877-11-03,Yale,1,Tufts,0,home,
1877,3,1877-11-06,Columbia,1,Rutgers,0,home,
1877,3,1877-11-10,Harvard,1,McGill,0,away,
1877,4,1877-11-13,Columbia,1,Stevens,0,away,
1877,4,1877-11-14,Rutgers,5,Stevens,0,home,
1877,4,1877-11-17,Amherst,8,Tufts,4,home,
1877,4,1877-11-17,Princeton,1,Harvard,0,neutral,
1877,5,1877-11-21,Yale,7,Trinity (CT),0,home,
1877,5,1877-11-24,Harvard,3,Tufts,0,away,
1877,5,1877-11-24,Princeton,4,Columbia,0,home,
1877,5,1877-11-24,Yale,13,Stevens,0,away,
1877,6,1877-12-08,Yale,0,Princeton,0,neutral,
1878,1,1878-10-19,Princeton,2,Pennsylvania,0,home,
1878,2,1878-10-26,Amherst,1,Brown,0,away,
1878,2,1878-10-26,Princeton,4,Stevens,0,home,
1878,3,1878-10-29,Stevens,0,Rutgers,0,away,
1878,3,1878-11-02,Pennsylvania,9,Swarthmore,0,home,
1878,3,1878-11-02,Princeton,5,Rutgers,0,home,
1878,3,1878-11-02,Yale,2,Amherst,0,home,
1878,4,1878-11-05,Stevens,0,Columbia,0,away,
1878,4,1878-11-09,Harvard,3,Amherst,0,away,
1878,4,1878-11-09,Princeton,2,Pennsylvania,1,away,
1878,4,1878-11-09,Stevens,1,Rutgers,0,home,
1878,4,1878-11-09,Yale,2,Trinity (CT),0,neutral,
1878,5,1878-11-13,Yale,3,Trinity (CT),0,neutral,
1878,5,1878-11-16,Columbia,0,Pennsylvania,0,away,
1878,5,1878-11-16,Princeton,1,Harvard,0,neutral,
1878,5,1878-11-16,Yale,0,Amherst,0,neutral,
1878,6,1878-11-23,Yale,1,Harvard,0,away,
1878,7,1878-11-28,Princeton,1,Yale,0,neutral,
1878,8,1878-12-07,Rutgers,1,City College of New York,0,home,
1879,1,1879-10-09,Stevens Alumni,0,Stevens,0,neutral,
1879,2,1879-10-18,Harvard,2,Britannia,0,away,
1879,2,1879-10-18,Princeton,6,Pennsylvania,0,home,
1879,3,1879-10-25,Columbia,0,Stevens,0,away,
1879,3,1879-10-25,Harvard,1,Britannia,0,away,
1879,4,1879-11-01,Harvard,0,McGill,0,away,
1879,4,1879-11-01,Princeton,2,Columbia,0,home,
1879,4,1879-11-01,Yale,3,Pennsylvania,0,neutral,
1879,5,1879-11-08,Harvard,0,Yale,0,away,
1879,5,1879-11-08,Pennsylvania,1,Columbia,0,home,
1879,5,1879-11-08,Princeton,7,Stevens,0,home,
1879,6,1879-11-11,Rutgers,1,Stevens,0,away,
1879,6,1879-11-15,Pennsylvania,7,Pennsylvania Military,0,home,
1879,6,1879-11-15,Princeton,1,Harvard,0,neutral,
1879,6,1879-11-15,Yale,5,Rutgers,0,home,
1879,7,1879-11-20,Rutgers,0,Columbia,0,away,
1879,7,1879-11-22,Yale,2,Columbia,0,away,
1879,7,1879-11-23,Stevens,3,Rutgers,3,away,
1879,8,1879-11-25,Stevens,3,Rutgers,1,away,
1879,8,1879-11-27,Yale,0,Princeton,0,neutral,
1879,9,1879-12-06,Stevens Alumni,0,Stevens,0,neutral,
1879,10,1879-12-13,Rutgers,0,Stevens,0,away,
1880,1,1880-10-09,Rutgers,5,Stevens,1,home,
1880,2,1880-10-16,Harvard,0,Britannia,0,away,
1880,2,1880-10-16,Rutgers,1,Stevens,0,away,
1880,3,1880-10-23,Harvard,2,Ottawa,1,away,
1880,3,1880-10-23,Pennsylvania,5,Crescent A.C.,0,home,
1880,3,1880-10-23,Princeton,6,Stevens,0,home,
1880,4,1880-10-30,Harvard,0,Montreal,0,away,
1880,4,1880-10-30,Princeton,1,Pennsylvania,0,home,
1880,5,1880-11-02,Princeton,8,Rutgers,0,home,
1880,5,1880-11-02,Stevens,2,City College of New York,0,home,
1880,5,1880-11-06,Harvard,3,Columbia,0,away,
1880,5,1880-11-06,Pennsylvania,3,Stevens,0,home,
1880,6,1880-11-10,Yale,13,Columbia,0,home,
1880,6,1880-11-13,Columbia,3,Rutgers,0,home,
1880,6,1880-11-13,Pennsylvania,5,Stevens,0,away,
1880,6,1880-11-13,Princeton,2,Harvard,1,neutral,
1880,6,1880-11-13,Yale,8,Brown,0,home,
1880,7,1880-11-17,Yale,8,Pennsylvania,0,neutral,
1880,7,1880-11-20,Yale,1,Harvard,0,away,
1880,8,1880-11-25,Yale,0,Princeton,0,neutral,
1881,1,1881-10-08,Harvard,2,Montreal,0,away,
1881,2,1881-10-15,Harvard,9,Ottawa,1,away,
1881,2,1881-10-15,Princeton,3,Rutgers,0,home,
1881,3,1881-10-22,Harvard,2,Britannia,0,away,
