# Consensus All-Americans per (school, season). Source: Wikipedia "Consensus All-American" year lists (NCAA-recognized selectors).
# unanimous left blank — the source list does not flag unanimous selections; build-data falls back to stats_summary.csv for the unanimous stat.
school,year,consensus,unanimous,source
Air Force,1987,1,,wikipedia
Air Force,1992,1,,wikipedia
Alabama,1930,1,,wikipedia
Alabama,1961,1,,wikipedia
Alabama,1962,1,,wikipedia
Alabama,1966,1,,wikipedia
Alabama,1972,1,,wikipedia
Alabama,1975,1,,wikipedia
Alabama,1980,1,,wikipedia
Alabama,1986,1,,wikipedia
Alabama,1988,1,,wikipedia
Alabama,1989,1,,wikipedia
Alabama,1990,1,,wikipedia
Alabama,1993,1,,wikipedia
Alabama,1996,1,,wikipedia
Alabama,1999,1,,wikipedia
Alabama,2005,1,,wikipedia
Alabama,2008,1,,wikipedia
Alabama,2009,2,,wikipedia
Alabama,2011,3,,wikipedia
Alabama,2012,2,,wikipedia
Alabama,2013,1,,wikipedia
Alabama,2014,2,,wikipedia
Alabama,2015,2,,wikipedia
Alabama,2016,3,,wikipedia
Alabama,2017,1,,wikipedia
Alabama,2018,2,,wikipedia
Alabama,2020,5,,wikipedia
Alabama,2021,1,,wikipedia
Alabama,2022,1,,wikipedia
Arizona,1983,1,,wikipedia
Arizona,1990,1,,wikipedia
Arizona,1993,1,,wikipedia
Arizona,1995,1,,wikipedia
Arizona,1998,1,,wikipedia
Arizona,2014,1,,wikipedia
Arizona State,1978,1,,wikipedia
Arizona State,2002,1,,wikipedia
Arizona State,2016,1,,wikipedia
Arkansas,1954,1,,wikipedia
Arkansas,1966,1,,wikipedia
Arkansas,1979,1,,wikipedia
Arkansas,1981,1,,wikipedia
Arkansas,1982,2,,wikipedia
Arkansas,2003,1,,wikipedia
Arkansas,2007,1,,wikipedia
Arkansas,2015,1,,wikipedia
Army,1928,1,,wikipedia
Army,1943,1,,wikipedia
Army,1945,2,,wikipedia
Army,1946,2,,wikipedia
Army,1950,1,,wikipedia
Army,1958,1,,wikipedia
Auburn,1957,1,,wikipedia
Auburn,1971,2,,wikipedia
Auburn,1985,1,,wikipedia
Auburn,1986,2,,wikipedia
Auburn,1988,1,,wikipedia
Auburn,1990,1,,wikipedia
Auburn,2019,1,,wikipedia
Baylor,1956,1,,wikipedia
Baylor,1980,1,,wikipedia
Baylor,1986,1,,wikipedia
Baylor,1991,1,,wikipedia
Baylor,2006,1,,wikipedia
Baylor,2012,1,,wikipedia
Baylor,2013,1,,wikipedia
Baylor,2015,2,,wikipedia
Baylor,2019,1,,wikipedia
Boise State,2024,1,,wikipedia
Boston College,1984,1,,wikipedia
Boston College,2010,1,,wikipedia
Boston College,2013,1,,wikipedia
BYU,1979,1,,wikipedia
BYU,1981,1,,wikipedia
BYU,1982,1,,wikipedia
BYU,1983,2,,wikipedia
BYU,1990,1,,wikipedia
California,1949,1,,wikipedia
California,2000,1,,wikipedia
California,2019,1,,wikipedia
Cincinnati,2022,1,,wikipedia
Clemson,1982,1,,wikipedia
Clemson,2006,1,,wikipedia
Clemson,2009,1,,wikipedia
Clemson,2010,1,,wikipedia
Clemson,2018,1,,wikipedia
Clemson,2019,1,,wikipedia
Colorado,1990,3,,wikipedia
Colorado,1991,1,,wikipedia
Colorado,1994,1,,wikipedia
Colorado,2024,1,,wikipedia
Colorado State,2021,1,,wikipedia
Duke,1989,1,,wikipedia
Duke,2015,1,,wikipedia
East Carolina,1991,1,,wikipedia
Florida,1966,1,,wikipedia
Florida,1989,1,,wikipedia
Florida,1995,1,,wikipedia
Florida,2001,1,,wikipedia
Florida,2008,1,,wikipedia
Florida,2009,1,,wikipedia
Florida,2015,1,,wikipedia
Florida,2020,1,,wikipedia
Florida Atlantic,2019,1,,wikipedia
Florida State,1987,1,,wikipedia
Florida State,1988,1,,wikipedia
Florida State,1991,1,,wikipedia
Florida State,1992,1,,wikipedia
Florida State,1993,2,,wikipedia
Florida State,1999,2,,wikipedia
