school,tagline
Ohio State,Seven Heismans and national titles across five decades.
Alabama,Bryant and Saban dynasties; eighteen national championships and it's not even close.
Michigan,"The Big House, the winged helmets, 1997 and 2023."
Notre Dame,"Rockne, the Four Horsemen, eleven consensus national titles."
Oklahoma,Wilkinson's 47-game streak and seven national championships.
USC,"Eleven national titles, eight Heismans, the Coliseum."
Texas,"1963, 1969 and 2005 champions; the Longhorn and Bevo."
Nebraska,"Five national titles, the 90s juggernaut, the Sea of Red."
Penn State,"Two national titles and undefeated, untied seasons."
Georgia,"1980, then back-to-back in 2021 and 2022, between the hedges."
LSU,Night games in Death Valley; champions in four decades.
Tennessee,1998 national champions; Neyland Stadium and the Vol Navy.
Florida State,"Bowden's dynasty: 1993, 1999, 2013 and fourteen straight top-fives."
Miami (FL),The 1980s and 2000s: five national titles and The U.
Florida,Three national titles; the Fun 'n' Gun and The Swamp.
Clemson,"1981, then 2016 and 2018; Death Valley and the Hill."
Texas A&M,"The 12th Man, the Junction Boys, 1939 national champions."
Auburn,1957 and 2010 champions; Toomer's Corner and the Iron Bowl.
Pittsburgh,"Nine claimed national titles; Dorsett, Marino, the 1970s."
Washington,1991 co-champions; Rose Bowl tradition on Lake Washington.
UCLA,1954 national champions; the Rose Bowl and Westwood.
Michigan State,Back-to-back national titles in 1965 and 1966.
Iowa,Nile Kinnick's 1939 Heisman; black and gold at Kinnick.
Arkansas,1964 national champions; calling the Hogs.
Wisconsin,"Camp Randall, Alvarez's Rose Bowls, three Heisman backs."
Colorado,1990 national champions; Folsom Field a mile high.
Stanford,"The Vow Boys, two Heismans, the Big Game and the Axe."
Minnesota,Six national titles and the Little Brown Jug.
Georgia Tech,"1917, 1928, 1952 and 1990 titles at old Grant Field."
Ole Miss,Vaught's undefeated teams of 1959 to 1962; the Grove.
Arizona State,Frank Kush's 1970s teams and the 1987 Rose Bowl.
Oregon,The Ducks' rise to the national stage; Autzen's roar.
California,Andy Smith's Wonder Teams — five straight unbeaten.
TCU,1938 national champions; Davey O'Brien and the Horned Frogs.
Syracuse,"1959 national champions; Ernie Davis, the first Black Heisman."
Illinois,"Red Grange, the Galloping Ghost, and Memorial Stadium."
BYU,1984 national champions; LaVell Edwards Stadium.
Missouri,Don Faurot's Split-T offense; Faurot Field.
West Virginia,Major Harris and Pat White; Country Roads at Mountaineer Field.
North Carolina,One of the South's oldest programs; Kenan Stadium since 1927.
Purdue,The 1967 Rose Bowl and the Boilermaker Special.
Maryland,1953 national champions; the Terrapins in College Park.
Virginia Tech,Beamer's turn-of-the-century run; Enter Sandman at Lane.
Boston College,Doug Flutie's 1984 Hail Mary and Heisman.
Utah,Two BCS-buster seasons; the Utes' climb to the Big 12.
Oklahoma State,Barry Sanders' 1988 Heisman season in Stillwater.
Baylor,Robert Griffin III's 2011 Heisman; the Bears' revival.
Army,Back-to-back national titles in 1944 and 1945; Blanchard and Davis.
Kentucky,Bear Bryant's 1950 SEC title and Sugar Bowl win.
SMU,The Pony Express and Doak Walker's 1948 Heisman.
Houston,Andre Ware's 1989 Heisman and the run-and-shoot.
Navy,Heismans for Bellino and Staubach; the Midshipmen.
Kansas State,Bill Snyder's turnaround of the nation's worst program.
Indiana,The 1967 Rose Bowl and a 2025 breakthrough.
Kansas,Gale Sayers and a 2008 Orange Bowl victory.
Vanderbilt,A founding member of the SEC and its oldest.
South Carolina,Spurrier's eleven-win teams; Williams-Brice on Saturdays.
Mississippi State,"The cowbells, Dak Prescott, and a 2014 run to No. 1."
Tulane,The 1934 Rose Bowl team and old Tulane Stadium.
Rutgers,"Where college football began, in 1869 against Princeton."
Duke,Wallace Wade's 1938 Iron Dukes and the 1942 Rose Bowl.
Wake Forest,Brian Piccolo's 1964 season and a 2006 ACC title.
Louisville,Lamar Jackson's 2016 Heisman; the Cardinals' rise.
Cincinnati,An unbeaten 2021 and the first Group of Five Playoff berth.
Boise State,The blue turf and the 2007 Fiesta Bowl Statue of Liberty.
UCF,An undefeated 2017 and a self-declared national title.
Air Force,Commander-in-Chief's Trophy runs and the falcon-and-flexbone identity.
Akron,MAC football since 1891 and the 2005 conference title.
Appalachian State,The 2007 upset at Michigan; three straight FCS national titles.
Arizona,Dick Tomey's Desert Swarm defenses of the mid-1990s.
Arkansas State,A run of Sun Belt titles through a parade of one-year coaches.
Ball State,The unbeaten 2008 regular season behind Nate Davis.
Bowling Green,Doyt Perry's near-perfect 1950s and five unbeaten seasons.
Buffalo,The 2008 MAC championship behind Turner Gill and James Starks.
Central Michigan,Three MAC titles in four years and Dan LeFevour's record book.
Charlotte,Football since 2013 and a fast climb into the American.
Coastal Carolina,The unbeaten 2020 run on the teal turf at Brooks Stadium.
Colorado State,Sonny Lubick's 1990s Border War dominance in Fort Collins.
East Carolina,Purple pride and the eleven-win 1991 Peach Bowl season.
Eastern Michigan,The 1987 California Bowl champions of Ypsilanti.
FIU,Mario Cristobal's first bowl teams in the late 2000s.
Florida Atlantic,Howard Schnellenberger's founding vision and the 2007-08 bowl wins.
Fresno State,"Pat Hill's 'anyone, anywhere, anytime' and the 2001 top ten."
Georgia Southern,Erk Russell's dynasty: six national titles and the triple option.
Georgia State,Football since 2010 and a bowl win before its first decade closed.
Hawaii,"June Jones, the run-and-shoot, and the unbeaten 2007 Sugar Bowl season."
Iowa State,Jack Trice's legacy and Matt Campbell's Fiesta Bowl breakthrough.
Kent State,Nick Saban and Jack Lambert both once wore the blue and gold.
Liberty,Hugh Freeze's unbeaten 2023 and a Fiesta Bowl berth.
Louisiana,Four straight Sun Belt West titles and New Orleans Bowl wins.
Louisiana Tech,"Terry Bradshaw, Karl Malone, and three Division II national titles."
Louisiana-Monroe,The 2012 stunner at Arkansas; the Warhawks of the bayou.
Marshall,"From the 1970 tragedy to Randy Moss, Chad Pennington, and a title."
Memphis,"DeAngelo Williams, the 2019 AAC title, and the Liberty Bowl."
Miami (OH),"The Cradle of Coaches: Hayes, Parseghian, Schembechler, and more."
Middle Tennessee,Blue Raiders football since 1911 and the climb through C-USA.
Nevada,Colin Kaepernick and the pistol offense Chris Ault built.
New Mexico,Rocky Long's Lobos and the thin air at University Stadium.
New Mexico State,The 1960 Sun Bowl champions; football in Las Cruces since 1893.
North Carolina State,Philip Rivers rewriting the record book in Raleigh.
North Texas,"Mean Joe Greene, the Mean Green, and five straight 1970s titles."
Northern Illinois,Jordan Lynch's Heisman run and the 2012 Orange Bowl.
Northwestern,The 1995 Rose Bowl season that shocked the Big Ten.
Ohio,Frank Solich's Bobcats and a century of MAC football in Athens.
Old Dominion,Football reborn in 2009 and the 2016 upset of No. 13 Virginia Tech.
Oregon State,The Giant Killers of 1967 and back-to-back Fiesta Bowls.
Rice,The 1953 Cotton Bowl and Jess Neely's Southwest Conference titles.
San Diego State,Marshall Faulk's freshman explosion and the Aztecs on the Mesa.
San Jose State,The 1990 California Bowl and an early coaching home for Bill Walsh.
South Alabama,Jaguars football since 2009 and a bowl team within a decade.
South Florida,The mid-2000s top-five ranking under Jim Leavitt.
Southern Miss,Brett Favre in Hattiesburg and the 2011 Conference USA title.
Temple,Pop Warner's Owls and Wayne Hardin's bowl teams.
Texas State,Bobcats football rising from Southwest Texas roots.
Texas Tech,"The Air Raid years, Michael Crabtree's catch, and Jones Stadium."
Toledo,The 1969-71 streak of 35 straight wins and a stack of MAC titles.
Troy,The jump to FBS and a run of Sun Belt championships.
Tulsa,The 1940s Skelly Stadium powerhouses and Glenn Dobbs.
UAB,The program its own city shut down and brought back.
UConn,The 2011 Fiesta Bowl in the Huskies’ first FBS decade.
UMass,The 1998 Division I-AA national champions of Amherst.
UNLV,The 1984 California Bowl and the Rebels under the lights.
Utah State,Merlin Olsen's line and the eleven-win 2012 Aggies.
UTEP,The 1967 Sun Bowl champions; Miners football since 1914.
UTSA,Back-to-back Conference USA titles barely a decade after kickoff.
Virginia,The 1990 team that briefly sat at No. 1 under George Welsh.
Washington State,Ryan Leaf's 1997 Rose Bowl run and the Palouse Air Raid.
Western Kentucky,The 2002 Division I-AA title and Brandon Doughty’s passing records.
