year,player,school,source
1935,Jay Berwanger,Chicago,heisman.com
1936,Larry Kelley,Yale,heisman.com
1937,Clint Frank,Yale,heisman.com
1938,Davey O'Brien,TCU,heisman.com
1939,Nile Kinnick,Iowa,heisman.com
1940,Tom Harmon,Michigan,heisman.com
1941,Bruce Smith,Minnesota,heisman.com
1942,Frank Sinkwich,Georgia,heisman.com
1943,Angelo Bertelli,Notre Dame,heisman.com
1944,Les Horvath,Ohio State,heisman.com
1945,Doc Blanchard,Army,heisman.com
1946,Glenn Davis,Army,heisman.com
1947,Johnny Lujack,Notre Dame,heisman.com
1948,Doak Walker,SMU,heisman.com
1949,Leon Hart,Notre Dame,heisman.com
1950,Vic Janowicz,Ohio State,heisman.com
1951,Dick Kazmaier,Princeton,heisman.com
1952,Billy Vessels,Oklahoma,heisman.com
1953,Johnny Lattner,Notre Dame,heisman.com
1954,Alan Ameche,Wisconsin,heisman.com
1955,Howard Cassady,Ohio State,heisman.com
1956,Paul Hornung,Notre Dame,heisman.com
1957,John David Crow,Texas A&M,heisman.com
1958,Pete Dawkins,Army,heisman.com
1959,Billy Cannon,LSU,heisman.com
1960,Joe Bellino,Navy,heisman.com
1961,Ernie Davis,Syracuse,heisman.com
1962,Terry Baker,Oregon State,heisman.com
1963,Roger Staubach,Navy,heisman.com
1964,John Huarte,Notre Dame,heisman.com
1965,Mike Garrett,USC,heisman.com
1966,Steve Spurrier,Florida,heisman.com
1967,Gary Beban,UCLA,heisman.com
1968,O.J. Simpson,USC,heisman.com
1969,Steve Owens,Oklahoma,heisman.com
1970,Jim Plunkett,Stanford,heisman.com
1971,Pat Sullivan,Auburn,heisman.com
1972,Johnny Rodgers,Nebraska,heisman.com
1973,John Cappelletti,Penn State,heisman.com
1974,Archie Griffin,Ohio State,heisman.com
1975,Archie Griffin,Ohio State,heisman.com
1976,Tony Dorsett,Pittsburgh,heisman.com
1977,Earl Campbell,Texas,heisman.com
1978,Billy Sims,Oklahoma,heisman.com
1979,Charles White,USC,heisman.com
1980,George Rogers,South Carolina,heisman.com
1981,Marcus Allen,USC,heisman.com
1982,Herschel Walker,Georgia,heisman.com
1983,Mike Rozier,Nebraska,heisman.com
1984,Doug Flutie,Boston College,heisman.com
1985,Bo Jackson,Auburn,heisman.com
1986,Vinny Testaverde,Miami (FL),heisman.com
1987,Tim Brown,Notre Dame,heisman.com
1988,Barry Sanders,Oklahoma State,heisman.com
1989,Andre Ware,Houston,heisman.com
1990,Ty Detmer,BYU,heisman.com
1991,Desmond Howard,Michigan,heisman.com
1992,Gino Torretta,Miami (FL),heisman.com
1993,Charlie Ward,Florida State,heisman.com
1994,Rashaan Salaam,Colorado,heisman.com
1995,Eddie George,Ohio State,heisman.com
1996,Danny Wuerffel,Florida,heisman.com
1997,Charles Woodson,Michigan,heisman.com
1998,Ricky Williams,Texas,heisman.com
1999,Ron Dayne,Wisconsin,heisman.com
2000,Chris Weinke,Florida State,heisman.com
2001,Eric Crouch,Nebraska,heisman.com
2002,Carson Palmer,USC,heisman.com
2003,Jason White,Oklahoma,heisman.com
2004,Matt Leinart,USC,heisman.com
2005,Reggie Bush,USC,heisman.com
2006,Troy Smith,Ohio State,heisman.com
2007,Tim Tebow,Florida,heisman.com
2008,Sam Bradford,Oklahoma,heisman.com
2009,Mark Ingram,Alabama,heisman.com
2010,Cam Newton,Auburn,heisman.com
2011,Robert Griffin III,Baylor,heisman.com
2012,Johnny Manziel,Texas A&M,heisman.com
2013,Jameis Winston,Florida State,heisman.com
2014,Marcus Mariota,Oregon,heisman.com
2015,Derrick Henry,Alabama,heisman.com
2016,Lamar Jackson,Louisville,heisman.com
2017,Baker Mayfield,Oklahoma,heisman.com
2018,Kyler Murray,Oklahoma,heisman.com
2019,Joe Burrow,LSU,heisman.com
2020,DeVonta Smith,Alabama,heisman.com
2021,Bryce Young,Alabama,heisman.com
2022,Caleb Williams,USC,heisman.com
2023,Jayden Daniels,LSU,heisman.com
2024,Travis Hunter,Colorado,heisman.com
