# College football national titles, one row per (school, year). Source: consolidated championship list (AP/UPI/FWAA/NFF/USA polls; CFRA/HAF/NCF pre-1936).
# selector "claim" = school claims it with no major selector; status "not-claimed" = selector named them but the school does not claim it; "vacated"/"disputed" as noted.
# build-data.mjs counts a title YEAR when the school has >=1 row whose selector is in TITLE_SELECTORS and status is not "not-claimed".
school,year,selector,status,source
Michigan,1901,HAF,,manual
Michigan,1901,NCF,,manual
Michigan,1902,HAF,,manual
Michigan,1902,NCF,,manual
Michigan,1903,NCF,,manual
Michigan,1904,NCF,,manual
Minnesota,1904,claim,,manual
LSU,1908,NCF,not-claimed,manual
Auburn,1910,claim,,manual
Pittsburgh,1910,NCF,not-claimed,manual
Penn State,1911,NCF,not-claimed,manual
Penn State,1912,NCF,not-claimed,manual
Auburn,1913,claim,disputed,manual
Army,1914,HAF,,manual
Army,1914,NCF,,manual
Auburn,1914,claim,,manual
Illinois,1914,claim,,manual
Pittsburgh,1915,claim,disputed,manual
Army,1916,claim,,manual
Pittsburgh,1916,HAF,,manual
Pittsburgh,1916,NCF,,manual
Georgia Tech,1917,HAF,,manual
Georgia Tech,1917,NCF,,manual
Michigan,1918,NCF,,manual
Pittsburgh,1918,HAF,,manual
Pittsburgh,1918,NCF,,manual
Illinois,1919,CFRA,,manual
Notre Dame,1919,NCF,not-claimed,manual
Texas A&M,1919,NCF,,manual
California,1920,CFRA,,manual
California,1920,HAF,,manual
California,1920,NCF,,manual
California,1921,CFRA,,manual
Iowa,1921,claim,,manual
California,1922,NCF,,manual
Iowa,1922,claim,,manual
California,1923,claim,,manual
Illinois,1923,CFRA,,manual
Illinois,1923,HAF,,manual
Illinois,1923,NCF,,manual
Michigan,1923,NCF,,manual
Notre Dame,1924,CFRA,,manual
Notre Dame,1924,HAF,,manual
Notre Dame,1924,NCF,,manual
Alabama,1925,CFRA,,manual
Alabama,1925,HAF,,manual
Alabama,1925,NCF,,manual
Alabama,1926,CFRA,,manual
Alabama,1926,HAF,,manual
Alabama,1926,NCF,,manual
Navy,1926,claim,,manual
Stanford,1926,HAF,,manual
Stanford,1926,NCF,,manual
Illinois,1927,HAF,,manual
Illinois,1927,NCF,,manual
