school,all_time_wins,win_pct,national_titles,conference_titles,consensus_aa,unanimous_aa,nfl_draft_picks,first_round_picks,weeks_ap_poll,weeks_ap_top10,weeks_ap_no1,heismans
Air Force,432,0.56,0,3,5,2,9,0,81,20,0,0
Akron,529,0.473,0,1,1,0,17,0,0,0,0,0
Alabama,960,0.733,12,33,84,41,401,79,857,619,140,4
Appalachian State,83,0.741,0,22,0,0,33,0,10,0,0,0
Arizona,628,0.556,0,6,16,0,184,10,169,31,0,0
Arizona State,637,0.6,0,17,18,3,255,26,291,65,0,0
Arkansas,738,0.576,1,13,25,9,279,23,432,201,1,0
Arkansas State,494,0.487,0,12,0,0,53,0,0,0,0,0
Army,722,0.567,2.5,0,37,8,26,3,146,104,27,3
Auburn,797,0.625,2,12,31,9,295,32,602,296,9,3
Ball State,474,0.51,0,11,2,0,30,0,10,0,0,0
Baylor,630,0.512,0,9,18,10,249,21,226,0,0,1
Boise State,487,0.725,0,20,3,0,72,5,165,57,0,0
Boston College,696,0.57,0.5,1,13,3,214,22,144,34,1,1
Bowling Green,560,0.566,0,17,0,0,66,1,16,0,0,0
Buffalo,410,0.428,0,1,0,0,15,1,3,0,0,0
BYU,617,0.582,1,23,14,6,152,12,266,64,4,1
California,691,0.547,2.5,14,30,3,244,27,200,92,4,0
Central Michigan,647,0.589,0,16,0,0,43,2,2,0,0,0
Charlotte,41,0.339,0,0,0,0,4,0,0,0,0,0
Cincinnati,660,0.522,0,16,5,1,133,3,97,0,0,0
Clemson,793,0.623,2.5,27,31,6,274,39,493,215,25,0
Coastal Carolina,163,0.652,0,8,1,0,9,0,24,2,0,0
Colorado,723,0.57,0.5,26,31,5,276,24,305,143,7,1
Colorado State,538,0.468,0,15,5,1,105,5,43,5,0,0
Duke,534,0.491,0,17,6,2,158,8,173,57,0,0
East Carolina,460,0.505,0,7,3,1,65,2,34,1,0,0
Eastern Michigan,488,0.442,0,9,0,0,31,2,0,0,0,0
FIU,88,0.345,0,1,0,0,10,0,0,0,0,0
Florida,759,0.628,3,8,34,8,373,58,644,357,41,3
Florida Atlantic,122,0.447,0,3,1,1,8,0,0,0,0,0
Florida State,576,0.67,3,15,45,15,277,46,567,376,72,3
Fresno State,643,0.59,0,29,1,1,111,5,58,4,0,0
