school,season,wins,losses,ties,source
Abilene Christian,1936,0,0,0,cfbd
Abilene Christian,1937,0,0,0,cfbd
Abilene Christian,1938,0,0,0,cfbd
Abilene Christian,1939,0,0,0,cfbd
Abilene Christian,1940,0,0,0,cfbd
Abilene Christian,1941,0,1,0,cfbd
Abilene Christian,1942,0,1,0,cfbd
Abilene Christian,1946,0,0,0,cfbd
Abilene Christian,1947,2,1,0,cfbd
Abilene Christian,1948,0,2,0,cfbd
Abilene Christian,1949,0,1,0,cfbd
Abilene Christian,1950,0,0,0,cfbd
Abilene Christian,1951,1,1,0,cfbd
Abilene Christian,1952,0,1,0,cfbd
Abilene Christian,1953,0,0,0,cfbd
Abilene Christian,1954,1,0,0,cfbd
Abilene Christian,1955,0,0,0,cfbd
Abilene Christian,1956,0,2,0,cfbd
Abilene Christian,1957,1,2,0,cfbd
Abilene Christian,1958,2,0,0,cfbd
Abilene Christian,1959,1,0,0,cfbd
Abilene Christian,1960,0,1,0,cfbd
Abilene Christian,1961,1,1,0,cfbd
Abilene Christian,1962,1,0,0,cfbd
Abilene Christian,1963,1,0,0,cfbd
Abilene Christian,1964,0,1,0,cfbd
Abilene Christian,1965,0,0,0,cfbd
Abilene Christian,1966,0,0,0,cfbd
Abilene Christian,1967,0,0,0,cfbd
Abilene Christian,1968,0,0,0,cfbd
Abilene Christian,1969,0,0,0,cfbd
Abilene Christian,1970,0,0,0,cfbd
Abilene Christian,1971,0,2,0,cfbd
Abilene Christian,1972,0,1,0,cfbd
Abilene Christian,1982,1,0,0,cfbd
Abilene Christian,1983,1,0,0,cfbd
Abilene Christian,1984,0,1,0,cfbd
Abilene Christian,1985,1,0,0,cfbd
Abilene Christian,1986,0,0,0,cfbd
Abilene Christian,1987,0,0,0,cfbd
Abilene Christian,1988,0,0,0,cfbd
Abilene Christian,1989,0,0,0,cfbd
Abilene Christian,1990,0,0,0,cfbd
Abilene Christian,1991,0,0,0,cfbd
Abilene Christian,1992,0,0,0,cfbd
Abilene Christian,1993,0,0,0,cfbd
Abilene Christian,1994,0,0,0,cfbd
Abilene Christian,1995,0,0,0,cfbd
Abilene Christian,1996,0,0,0,cfbd
Abilene Christian,1997,0,0,0,cfbd
Abilene Christian,1998,0,0,0,cfbd
Abilene Christian,1999,0,0,0,cfbd
Abilene Christian,2000,0,0,0,cfbd
Abilene Christian,2001,0,0,0,cfbd
Abilene Christian,2002,0,0,0,cfbd
Abilene Christian,2003,0,0,0,cfbd
Abilene Christian,2004,0,0,0,cfbd
Abilene Christian,2005,0,0,0,cfbd
Abilene Christian,2006,0,0,0,cfbd
Abilene Christian,2007,1,0,0,cfbd
Abilene Christian,2008,0,0,0,cfbd
Abilene Christian,2009,0,0,0,cfbd
Abilene Christian,2010,0,0,0,cfbd
Abilene Christian,2011,0,0,0,cfbd
Abilene Christian,2012,0,0,0,cfbd
Abilene Christian,2013,6,5,0,cfbd
Abilene Christian,2014,5,6,0,cfbd
Abilene Christian,2015,3,7,0,cfbd
Abilene Christian,2016,2,9,0,cfbd
Abilene Christian,2017,2,9,0,cfbd
Abilene Christian,2018,6,5,0,cfbd
Abilene Christian,2019,5,7,0,cfbd
Abilene Christian,2020,1,5,0,cfbd
Abilene Christian,2021,5,6,0,cfbd
Abilene Christian,2022,7,4,0,cfbd
Abilene Christian,2023,5,6,0,cfbd
Abilene Christian,2024,9,5,0,cfbd
Abilene Christian,2025,9,5,0,cfbd
Abilene Christian,2026,0,0,0,cfbd
Adams State,2014,0,0,0,cfbd
Adams State,2015,0,0,0,cfbd
Adams State,2016,0,0,0,cfbd
Adams State,2017,0,0,0,cfbd
Adams State,2018,0,0,0,cfbd
Adams State,2019,0,0,0,cfbd
Adams State,2020,0,0,0,cfbd
Adams State,2021,1,10,0,cfbd
Adams State,2022,2,9,0,cfbd
Adams State,2023,3,8,0,cfbd
Adams State,2024,0,11,0,cfbd
Adams State,2025,0,11,0,cfbd
Adams State,2026,0,0,0,cfbd
Adrian,2014,0,0,0,cfbd
Adrian,2015,0,0,0,cfbd
Adrian,2016,0,0,0,cfbd
Adrian,2017,0,0,0,cfbd
Adrian,2018,0,0,0,cfbd
Adrian,2019,0,0,0,cfbd
Adrian,2020,2,2,0,cfbd
Adrian,2021,0,0,0,cfbd
Adrian,2022,6,4,0,cfbd
Adrian,2023,1,9,0,cfbd
Adrian,2024,6,4,0,cfbd
Adrian,2025,8,2,0,cfbd
Adrian,2026,0,0,0,cfbd
Air Force,1956,0,1,0,cfbd
Air Force,1957,3,6,1,cfbd
Air Force,1958,9,0,2,cfbd
Air Force,1959,5,4,1,cfbd
Air Force,1960,4,6,0,cfbd
Air Force,1961,3,7,0,cfbd
Air Force,1962,5,5,0,cfbd
Air Force,1963,7,4,0,cfbd
Air Force,1964,4,5,1,cfbd
Air Force,1965,3,6,1,cfbd
Air Force,1966,4,6,0,cfbd
Air Force,1967,2,6,2,cfbd
Air Force,1968,7,3,0,cfbd
Air Force,1969,6,4,0,cfbd
Air Force,1970,9,3,0,cfbd
Air Force,1971,6,4,0,cfbd
Air Force,1972,6,4,0,cfbd
Air Force,1973,6,4,0,cfbd
Air Force,1974,2,9,0,cfbd
Air Force,1975,2,8,1,cfbd
Air Force,1976,4,7,0,cfbd
Air Force,1977,2,8,1,cfbd
Air Force,1978,3,8,0,cfbd
Air Force,1979,2,9,0,cfbd
Air Force,1980,2,9,1,cfbd
Air Force,1981,4,7,0,cfbd
Air Force,1982,8,5,0,cfbd
Air Force,1983,10,2,0,cfbd
Air Force,1984,8,4,0,cfbd
Air Force,1985,12,1,0,cfbd
Air Force,1986,6,5,0,cfbd
Air Force,1987,9,4,0,cfbd
Air Force,1988,5,7,0,cfbd
Air Force,1989,8,4,1,cfbd
Air Force,1990,7,5,0,cfbd
Air Force,1991,10,3,0,cfbd
Air Force,1992,7,5,0,cfbd
Air Force,1993,4,8,0,cfbd
Air Force,1994,8,4,0,cfbd
Air Force,1995,8,5,0,cfbd
Air Force,1996,6,5,0,cfbd
Air Force,1997,10,3,0,cfbd
Air Force,1998,12,1,0,cfbd
Air Force,1999,6,5,0,cfbd
Air Force,2000,9,3,0,cfbd
Air Force,2001,6,6,0,cfbd
Air Force,2002,8,5,0,cfbd
Air Force,2003,7,5,0,cfbd
Air Force,2004,5,6,0,cfbd
Air Force,2005,4,7,0,cfbd
Air Force,2006,4,8,0,cfbd
Air Force,2007,9,4,0,cfbd
Air Force,2008,8,5,0,cfbd
Air Force,2009,8,5,0,cfbd
Air Force,2010,9,4,0,cfbd
Air Force,2011,7,6,0,cfbd
Air Force,2012,6,7,0,cfbd
Air Force,2013,2,10,0,cfbd
Air Force,2014,10,3,0,cfbd
Air Force,2015,8,6,0,cfbd
Air Force,2016,10,3,0,cfbd
Air Force,2017,5,7,0,cfbd
Air Force,2018,5,7,0,cfbd
Air Force,2019,11,2,0,cfbd
Air Force,2020,3,3,0,cfbd
Air Force,2021,10,3,0,cfbd
Air Force,2022,10,3,0,cfbd
Air Force,2023,9,4,0,cfbd
Air Force,2024,5,7,0,cfbd
Air Force,2025,4,8,0,cfbd
Air Force,2026,0,0,0,cfbd
Akron,1936,0,0,0,cfbd
Akron,1937,0,0,0,cfbd
Akron,1938,0,1,0,cfbd
Akron,1939,0,0,0,cfbd
Akron,1940,0,1,0,cfbd
Akron,1941,0,0,0,cfbd
Akron,1942,0,0,0,cfbd
Akron,1946,0,0,0,cfbd
Akron,1947,0,0,0,cfbd
Akron,1948,0,0,0,cfbd
Akron,1949,0,0,0,cfbd
Akron,1950,0,0,0,cfbd
Akron,1951,0,0,0,cfbd
Akron,1952,0,0,0,cfbd
Akron,1953,0,0,0,cfbd
Akron,1954,0,0,0,cfbd
Akron,1955,0,0,0,cfbd
Akron,1956,0,0,0,cfbd
Akron,1957,0,0,0,cfbd
Akron,1958,0,0,0,cfbd
Akron,1959,0,0,0,cfbd
Akron,1960,0,0,0,cfbd
Akron,1961,0,0,0,cfbd
Akron,1962,0,0,0,cfbd
Akron,1963,0,0,0,cfbd
Akron,1964,0,0,0,cfbd
Akron,1965,0,0,0,cfbd
