# One (school, season): weeks in the AP poll / top-10 / top-5 / at #1, and the final rank that year.
# Hand-maintained; covers every weekly poll 1936->present. Edit and re-run `npm run build:data`.
# final_rank=1 rows define that season’s AP champion.
school,season,weeks_poll,weeks_top10,weeks_top5,weeks_no1,final_rank
Air Force,1958,7,5,0,0,6
Air Force,1959,5,0,0,0,
Air Force,1969,4,0,0,0,
Air Force,1970,13,7,0,0,16
Air Force,1971,2,0,0,0,
Air Force,1972,4,0,0,0,
Air Force,1983,4,0,0,0,13
Air Force,1985,13,8,2,0,8
Air Force,1989,4,0,0,0,
Air Force,1991,1,0,0,0,25
Air Force,1995,1,0,0,0,
Air Force,1997,6,0,0,0,
Air Force,1998,8,0,0,0,13
Air Force,1999,1,0,0,0,
Air Force,2002,3,0,0,0,
Air Force,2010,2,0,0,0,
Air Force,2019,3,0,0,0,22
Air Force,2023,3,0,0,0,
Alabama,1936,5,4,3,0,4
Alabama,1937,7,7,7,0,4
Alabama,1938,7,0,0,0,13
Alabama,1939,4,1,0,0,
Alabama,1940,3,0,0,0,
Alabama,1941,6,2,0,0,20
Alabama,1942,8,8,4,0,10
Alabama,1944,3,0,0,0,
Alabama,1945,9,9,6,0,2
Alabama,1946,4,2,0,0,
Alabama,1947,7,4,0,0,6
Alabama,1950,3,0,0,0,16
Alabama,1951,1,1,0,0,
Alabama,1952,8,2,0,0,9
Alabama,1953,4,1,1,0,13
Alabama,1954,2,0,0,0,
Alabama,1959,4,1,0,0,10
Alabama,1960,7,2,1,0,9
Alabama,1961,12,12,12,3,1
Alabama,1962,12,12,11,3,5
Alabama,1963,13,13,4,0,8
Alabama,1964,11,11,10,1,1
Alabama,1965,8,8,7,1,1
Alabama,1966,13,13,13,1,3
Alabama,1967,8,8,2,0,8
Alabama,1968,9,3,0,0,17
Alabama,1969,5,0,0,0,
Alabama,1970,3,0,0,0,
Alabama,1971,15,14,10,0,4
Alabama,1972,15,15,11,0,7
Alabama,1973,15,15,13,2,4
Alabama,1974,15,15,15,0,5
Alabama,1975,15,12,7,0,3
Alabama,1976,13,3,0,0,11
Alabama,1977,14,14,10,0,2
Alabama,1978,15,15,12,4,1
Alabama,1979,15,15,15,8,1
Alabama,1980,16,16,10,7,6
Alabama,1981,15,11,5,0,7
Alabama,1982,11,10,7,0,
Alabama,1983,15,3,1,0,15
Alabama,1984,3,2,0,0,
Alabama,1985,11,1,0,0,13
Alabama,1986,15,13,8,0,9
Alabama,1987,11,0,0,0,
Alabama,1988,15,0,0,0,17
Alabama,1989,17,10,5,0,9
Alabama,1990,3,0,0,0,
Alabama,1991,15,8,1,0,5
Alabama,1992,17,17,10,1,1
Alabama,1993,17,11,11,0,14
Alabama,1994,17,10,4,0,5
Alabama,1995,17,1,0,0,21
Alabama,1996,18,6,0,0,11
Alabama,1997,7,0,0,0,
Alabama,1998,2,0,0,0,
Alabama,1999,16,6,1,0,8
Alabama,2000,4,2,2,0,
Alabama,2001,2,0,0,0,
Alabama,2002,10,2,0,0,13
Alabama,2003,1,0,0,0,
Alabama,2005,12,8,4,0,8
Alabama,2007,5,0,0,0,
Alabama,2008,16,13,10,5,6
Alabama,2009,16,16,16,3,1
Alabama,2010,16,13,7,6,10
Alabama,2011,16,16,16,1,1
Alabama,2012,16,16,16,11,1
Alabama,2013,17,17,16,14,7
Alabama,2014,17,17,15,2,4
Alabama,2015,16,14,9,1,1
Alabama,2016,16,16,16,15,2
Alabama,2017,16,16,16,14,1
Alabama,2018,16,16,16,15,2
Alabama,2019,17,17,14,4,8
Alabama,2020,16,16,16,7,1
Alabama,2021,16,16,16,7,2
Alabama,2022,16,16,9,3,5
Alabama,2023,16,11,4,0,5
Alabama,2024,17,10,6,1,17
Alabama,2025,17,12,4,0,9
Appalachian State,2018,1,0,0,0,
Appalachian State,2019,8,0,0,0,19
Appalachian State,2020,1,0,0,0,
Arizona,1961,1,0,0,0,17
Arizona,1968,1,0,0,0,
Arizona,1973,2,0,0,0,
Arizona,1974,9,1,0,0,
Arizona,1975,15,0,0,0,18
Arizona,1983,8,5,2,0,
Arizona,1986,13,2,0,0,11
Arizona,1989,9,0,0,0,25
Arizona,1990,7,0,0,0,
Arizona,1992,8,1,0,0,
