# One row per (school, season) conference title: regular-season champion, or the
# title-game winner where a league staged one. Co-champions each get a full row;
# shared=1 flags a season that had 2+ champions. Distinct seasons per program are
# what the rating counts.
#
# Parsed from the NCAA "Conference Standings & Champions" book (ALL-TIME CONFERENCE
# CHAMPIONS). The book's definition is stricter than a program's own claimed count,
# so totals here run a little lower than the marketing numbers. The `conference`
# label is best-effort (the source's 3-column layout makes it noisy) — the school
# and year are reliable. A few programs the parse could not reach still use the
# summary fallback in _staging_summary_fallback.csv.
school,year,conference,shared
Air Force,1985,"WAC",1
Air Force,1995,"WAC",1
Air Force,1998,"WAC",0
Akron,2005,"MAC",0
Alabama,1924,"Southern",0
Alabama,1925,"Southern",0
Alabama,1926,"Southern",0
Alabama,1930,"Southern",1
Alabama,1933,"SEC",0
Alabama,1934,"SEC",1
Alabama,1937,"SEC",0
Alabama,1945,"SEC",0
Alabama,1953,"SEC",0
Alabama,1961,"SEC",1
Alabama,1964,"SEC",1
Alabama,1971,"SEC",0
Alabama,1972,"SEC",0
Alabama,1973,"SEC",0
Alabama,1974,"SEC",0
Alabama,1975,"SEC",0
Alabama,1977,"SEC",0
Alabama,1978,"SEC",0
Alabama,1979,"SEC",0
Alabama,1981,"SEC",1
Alabama,1989,"SEC",1
Alabama,1992,"SEC",0
Alabama,1999,"SEC",0
Alabama,2009,"SEC",0
Alabama,2012,"SEC",0
Alabama,2014,"SEC",0
Alabama,2015,"SEC",0
Alabama,2016,"SEC",0
Alabama,2017,"SEC",0
Alabama,2018,"SEC",0
Alabama,2020,"SEC",0
Alabama,2021,"SEC",0
Alabama,2023,"SEC",0
Appalachian State,1986,"Southern",0
Appalachian State,1987,"Southern",0
Appalachian State,1991,"Southern",0
Appalachian State,1995,"Southern",0
Appalachian State,1999,"Southern",1
Appalachian State,2005,"Southern",0
Appalachian State,2006,"Southern",0
Appalachian State,2007,"Southern",0
Appalachian State,2008,"Southern",0
Appalachian State,2009,"Southern",0
Appalachian State,2010,"Southern",0
Appalachian State,2012,"Southern",1
Appalachian State,2016,"Sun Belt",1
Appalachian State,2017,"Sun Belt",1
Appalachian State,2018,"Sun Belt",0
Appalachian State,2019,"Sun Belt",0
Arizona,1935,"Big West",0
Arizona,1936,"Big West",0
Arizona,1941,"Big West",0
Arizona,1945,"Big West",0
Arizona,1964,"WAC",1
Arizona,1973,"WAC",1
Arizona,1993,"Pac-12 / Pacific Coast",1
Arizona State,1931,"Big West",0
Arizona State,1939,"Big West",0
Arizona State,1940,"Big West",0
Arizona State,1969,"WAC",1
Arizona State,1970,"WAC",1
Arizona State,1971,"WAC",1
Arizona State,1972,"WAC",1
Arizona State,1973,"WAC",1
Arizona State,1975,"WAC",0
Arizona State,1977,"WAC",1
Arizona State,1986,"Pac-12 / Pacific Coast",0
Arizona State,1996,"Pac-12 / Pacific Coast",0
Arizona State,2007,"Pac-12 / Pacific Coast",1
Arizona State,2024,"Big 12",0
Arkansas,1936,"Southwest",0
Arkansas,1954,"Southwest",0
Arkansas,1959,"Southwest",1
Arkansas,1960,"Southwest",0
Arkansas,1961,"Southwest",1
Arkansas,1964,"Southwest",0
Arkansas,1965,"Southwest",0
Arkansas,1968,"Southwest",1
Arkansas,1975,"Southwest",1
Arkansas,1979,"Southwest",1
Arkansas,1988,"Southwest",0
Arkansas,1989,"Southwest",0
Arkansas State,1968,"Southland",0
Arkansas State,1969,"Southland",0
Arkansas State,1970,"Southland",0
Arkansas State,1975,"Southland",0
Arkansas State,1985,"Southland",0
Arkansas State,1986,"Southland",0
Arkansas State,2005,"Sun Belt",1
Arkansas State,2011,"Sun Belt",0
Arkansas State,2012,"Sun Belt",0
Arkansas State,2013,"Sun Belt",1
Arkansas State,2015,"Sun Belt",0
Arkansas State,2016,"Sun Belt",1
Army,2024,"American",0
Auburn,1932,"Southern",1
Auburn,1957,"SEC",0
Auburn,1983,"SEC",0
Auburn,1987,"SEC",0
Auburn,1988,"SEC",1
Auburn,1989,"SEC",1
Auburn,2004,"SEC",0
Auburn,2010,"SEC",0
Auburn,2013,"SEC",0
Auburn,2025,"SEC",1
Ball State,1976,"MAC",0
Ball State,1978,"MAC",0
Ball State,1989,"MAC",0
Ball State,1993,"MAC",0
Ball State,1996,"MAC",0
Ball State,2020,"MAC",0
Baylor,1922,"Southwest",0
Baylor,1924,"Southwest",0
Baylor,1974,"Southwest",0
Baylor,1980,"Southwest",0
Baylor,1994,"Southwest",1
Baylor,2013,"Big 12",0
Baylor,2014,"Big 12",1
Baylor,2021,"Big 12",0
Boise State,1973,"ASUN",0
Boise State,1974,"ASUN",0
Boise State,1975,"ASUN",0
Boise State,1977,"ASUN",0
Boise State,1980,"ASUN",0
Boise State,1994,"ASUN",0
Boise State,1999,"Big West",1
Boise State,2002,"WAC",0
Boise State,2003,"WAC",1
Boise State,2004,"WAC",1
Boise State,2005,"WAC",0
Boise State,2006,"WAC",1
Boise State,2008,"WAC",0
Boise State,2009,"WAC",0
Boise State,2010,"WAC",1
Boise State,2012,"Mountain West",1
Boise State,2014,"Mountain West",0
Boise State,2017,"Mountain West",0
Boise State,2019,"Mountain West",0
Boise State,2023,"Mountain West",0
Boise State,2024,"Mountain West",0
Boise State,2025,"Mountain West",0
Boston College,2004,"Big East",1
Bowling Green,1956,"MAC",0
Bowling Green,1959,"MAC",0
Bowling Green,1961,"MAC",0
Bowling Green,1962,"MAC",0
Bowling Green,1964,"MAC",0
Bowling Green,1965,"MAC",1
Bowling Green,1982,"MAC",0
Bowling Green,1985,"MAC",0
Bowling Green,1991,"MAC",0
Bowling Green,1992,"MAC",0
Bowling Green,2013,"MAC",0
Bowling Green,2015,"MAC",0
Buffalo,2008,"MAC",0
BYU,1965,"WAC",0
BYU,1974,"WAC",1
BYU,1976,"WAC",1
BYU,1977,"WAC",1
BYU,1978,"WAC",1
BYU,1979,"WAC",1
BYU,1980,"WAC",0
BYU,1981,"WAC",1
BYU,1982,"WAC",1
BYU,1983,"WAC",1
BYU,1984,"WAC",0
BYU,1985,"WAC",1
BYU,1989,"WAC",1
BYU,1990,"WAC",1
BYU,1991,"WAC",1
BYU,1992,"WAC",1
BYU,1993,"WAC",1
BYU,1999,"Mountain West",1
BYU,2001,"Mountain West",0
BYU,2006,"Mountain West",0
BYU,2007,"Mountain West",0
California,1918,"Pac-12 / Pacific Coast",0
California,1920,"Pac-12 / Pacific Coast",0
California,1921,"Pac-12 / Pacific Coast",0
California,1922,"Pac-12 / Pacific Coast",0
California,1923,"Pac-12 / Pacific Coast",0
California,1935,"Pac-12 / Pacific Coast",1
California,1937,"Pac-12 / Pacific Coast",0
California,1938,"Pac-12 / Pacific Coast",1
California,1948,"Pac-12 / Pacific Coast",0
California,1949,"Pac-12 / Pacific Coast",0
California,1950,"Pac-12 / Pacific Coast",0
California,1958,"Pac-12 / Pacific Coast",0
California,1975,"Pac-12 / Pacific Coast",1
California,2006,"Pac-12 / Pacific Coast",1
Central Michigan,1979,"MAC",0
Central Michigan,1980,"MAC",0
Central Michigan,1990,"MAC",0
Central Michigan,1994,"MAC",0
Central Michigan,2006,"MAC",0
Central Michigan,2007,"MAC",0
Central Michigan,2009,"MAC",0
Cincinnati,1947,"MAC",0
Cincinnati,1949,"MAC",0
Cincinnati,1951,"MAC",0
Cincinnati,1952,"MAC",0
Cincinnati,1963,"Missouri Valley",0
Cincinnati,1964,"Missouri Valley",0
Cincinnati,2002,"Big West",1
Cincinnati,2008,"Big East",1
Cincinnati,2009,"Big East",0
Cincinnati,2011,"Big East",1
Cincinnati,2014,"American",1
Cincinnati,2020,"American",0
Cincinnati,2021,"American",0
Clemson,1939,"Southern",0
Clemson,1940,"Southern",0
Clemson,1948,"Southern",0
Clemson,1956,"ACC",0
Clemson,1958,"ACC",0
Clemson,1959,"ACC",0
Clemson,1965,"ACC",1
Clemson,1966,"ACC",0
Clemson,1967,"ACC",0
Clemson,1978,"ACC",0
Clemson,1981,"ACC",0
Clemson,1982,"ACC",0
Clemson,1986,"ACC",0
Clemson,1987,"ACC",0
Clemson,1988,"ACC",0
