# Raw game results, one row per game, 1869-2025 (season,date,team1,score1,team2,score2).
# NOT wired into the Blue Blood Rating. Kept for a future head-to-head / margins feature.
# MAJOR-vs-MAJOR ONLY: no FBS-vs-FCS / small-college games, so it undercounts every
# program (pre-1936 is <50% covered). Do not use it to rebuild _staging_wins.csv.
# When wiring it up, add these name aliases: Southern Methodist->SMU,
# Alabama-Birmingham->UAB, North Carolina-Charlotte->Charlotte (plus strip " (ST)"
# state suffixes and map " St."->" State"). More pre-1936 data to come.
season,date,team1,score1,team2,score2
1869,1869-11-06,Princeton (NJ),4,Rutgers (NJ),6
1869,1869-11-13,Princeton (NJ),8,Rutgers (NJ),0
1870,1870-11-12,Columbia (NY),3,Rutgers (NJ),6
1870,1870-11-19,Princeton (NJ),6,Rutgers (NJ),2
1872,1872-11-02,Columbia (NY),0,Rutgers (NJ),1
1872,1872-11-09,Columbia (NY),2,Rutgers (NJ),5
1872,1872-11-16,Columbia (NY),0,Yale (CT),3
1872,1872-11-23,Columbia (NY),6,Stevens Tech (NJ),0
1872,1872-11-23,Princeton (NJ),4,Rutgers (NJ),1
1873,1873-10-18,New York (NY),1,Stevens Tech (NJ),6
1873,1873-10-25,Columbia (NY),2,Stevens Tech (NJ),1
1873,1873-10-25,Yale (CT),4,Rutgers (NJ),1
1873,1873-11-01,Columbia (NY),4,Rutgers (NJ),5
1873,1873-11-15,Columbia (NY),4,Rutgers (NJ),3
1873,1873-11-15,Princeton (NJ),3,Yale (CT),0
1874,1874-10-24,Columbia (NY),1,Rutgers (NJ),6
1874,1874-10-31,Columbia (NY),2,Stevens Tech (NJ),4
1874,1874-11-01,Rutgers (NJ),6,Stevens Tech (NJ),0
1874,1874-11-07,Columbia (NY),4,Rutgers (NJ),1
1874,1874-11-10,New York (NY),0,Stevens Tech (NJ),6
1874,1874-11-14,Columbia (NY),0,Princeton (NJ),6
1874,1874-11-18,Yale (CT),6,Stevens Tech (NJ),0
1874,1874-11-21,Columbia (NY),1,Yale (CT),5
1874,1874-11-21,Princeton (NJ),6,Rutgers (NJ),0
1874,1874-12-05,Columbia (NY),1,Yale (CT),6
1875,1875-10-17,New York (NY),0,Stevens Tech (NJ),5
1875,1875-10-24,Rutgers (NJ),6,Stevens Tech (NJ),0
1875,1875-11-02,Columbia (NY),1,Rutgers (NJ),1
1875,1875-11-04,Columbia (NY),2,Stevens Tech (NJ),1
1875,1875-11-06,Yale (CT),4,Rutgers (NJ),1
1875,1875-11-13,Columbia (NY),2,Princeton (NJ),6
1875,1875-11-13,Harvard (MA),4,Yale (CT),0
1875,1875-11-20,Princeton (NJ),6,Stevens Tech (NJ),0
1875,1875-12-04,Columbia (NY),3,Yale (CT),2
1876,1876-08-25,Columbia (NY),1,Stevens Tech (NJ),1
1876,1876-10-31,New York (NY),0,Stevens Tech (NJ),8
1876,1876-11-01,Rutgers (NJ),3,Stevens Tech (NJ),2
1876,1876-11-11,Columbia (NY),3,Stevens Tech (NJ),5
1876,1876-11-11,Pennsylvania,0,Princeton (NJ),6
1876,1876-11-18,Columbia (NY),0,Princeton (NJ),3
1876,1876-11-18,Columbia (NY),4,Stevens Tech (NJ),0
1876,1876-11-18,Harvard (MA),0,Yale (CT),1
1876,1876-11-25,Pennsylvania,0,Princeton (NJ),6
1876,1876-11-30,Princeton (NJ),0,Yale (CT),2
1876,1876-12-09,Columbia (NY),0,Yale (CT),2
1876,1877-04-28,Harvard (MA),1,Princeton (NJ),0
1877,1877-10-27,Rutgers (NJ),1,Stevens Tech (NJ),2
1877,1877-11-03,Harvard (MA),0,Princeton (NJ),1
1877,1877-11-05,Columbia (NY),0,Harvard (MA),6
1877,1877-11-06,Columbia (NY),4,Rutgers (NJ),2
1877,1877-11-13,Columbia (NY),0,Stevens Tech (NJ),0
1877,1877-11-14,Rutgers (NJ),0,Stevens Tech (NJ),1
1877,1877-11-17,Columbia (NY),0,Princeton (NJ),4
1877,1877-12-02,Columbia (NY),0,Yale (CT),1
1877,1877-12-08,Princeton (NJ),0,Yale (CT),0
1878,1878-10-19,Pennsylvania,0,Princeton (NJ),2
1878,1878-10-26,Princeton (NJ),4,Stevens Tech (NJ),0
1878,1878-10-29,Rutgers (NJ),0,Stevens Tech (NJ),0
1878,1878-11-02,Amherst (MA),0,Yale (CT),2
1878,1878-11-02,Pennsylvania,9,Swarthmore (PA),0
1878,1878-11-02,Princeton (NJ),5,Rutgers (NJ),0
1878,1878-11-05,Columbia (NY),0,Stevens Tech (NJ),0
1878,1878-11-09,Amherst (MA),0,Harvard (MA),3
1878,1878-11-09,Pennsylvania,1,Princeton (NJ),2
1878,1878-11-09,Rutgers (NJ),0,Stevens Tech (NJ),1
1878,1878-11-13,Amherst (MA),1,Brown (RI),0
1878,1878-11-16,Amherst (MA),0,Yale (CT),0
1878,1878-11-16,Columbia (NY),0,Pennsylvania,0
1878,1878-11-16,Harvard (MA),0,Princeton (NJ),1
1878,1878-11-23,Harvard (MA),0,Yale (CT),1
1878,1878-11-28,Princeton (NJ),1,Yale (CT),0
1879,1879-10-18,Pennsylvania,0,Princeton (NJ),6
1879,1879-10-25,Columbia (NY),0,Stevens Tech (NJ),0
1879,1879-11-01,Columbia (NY),0,Princeton (NJ),2
1879,1879-11-01,Pennsylvania,0,Yale (CT),3
1879,1879-11-08,Columbia (NY),0,Pennsylvania,1
1879,1879-11-08,Harvard (MA),0,Yale (CT),0
1879,1879-11-08,Princeton (NJ),7,Stevens Tech (NJ),0
1879,1879-11-11,Rutgers (NJ),1,Stevens Tech (NJ),0
1879,1879-11-15,Harvard (MA),0,Princeton (NJ),1
1879,1879-11-15,Yale (CT),5,Rutgers (NJ),0
1879,1879-11-20,Columbia (NY),0,Rutgers (NJ),0
1879,1879-11-22,Columbia (NY),0,Yale (CT),2
1879,1879-11-23,Rutgers (NJ),3,Stevens Tech (NJ),3
1879,1879-11-25,Rutgers (NJ),1,Stevens Tech (NJ),3
1879,1879-11-27,Princeton (NJ),0,Yale (CT),0
1879,1879-12-13,Rutgers (NJ),0,Stevens Tech (NJ),0
1880,1880-10-09,Rutgers (NJ),5,Stevens Tech (NJ),1
1880,1880-10-16,Rutgers (NJ),1,Stevens Tech (NJ),0
1880,1880-10-23,Princeton (NJ),6,Stevens Tech (NJ),0
1880,1880-10-30,Pennsylvania,0,Princeton (NJ),2
1880,1880-11-02,Princeton (NJ),8,Rutgers (NJ),0
1880,1880-11-06,Columbia (NY),0,Harvard (MA),3
1880,1880-11-06,Pennsylvania,0,Princeton (NJ),1
1880,1880-11-10,Columbia (NY),0,Yale (CT),13
1880,1880-11-13,Brown (RI),0,Yale (CT),8
1880,1880-11-13,Columbia (NY),2,Rutgers (NJ),0
1880,1880-11-13,Harvard (MA),1,Princeton (NJ),2
1880,1880-11-13,Pennsylvania,3,Stevens Tech (NJ),0
1880,1880-11-17,Pennsylvania,0,Yale (CT),8
1880,1880-11-20,Harvard (MA),0,Yale (CT),1
1880,1880-11-25,Princeton (NJ),0,Yale (CT),0
1881,1881-10-15,Princeton (NJ),5,Rutgers (NJ),0
1881,1881-10-22,Amherst (MA),0,Massachusetts,0
1881,1881-10-22,Princeton (NJ),7,Stevens Tech (NJ),0
1881,1881-10-29,Amherst (MA),0,Yale (CT),2
1881,1881-10-29,Pennsylvania,0,Princeton (NJ),7
1881,1881-10-31,Columbia (NY),3,Stevens Tech (NJ),1
1881,1881-10-31,Harvard (MA),1,Michigan,0
1881,1881-11-02,Harvard (MA),2,Pennsylvania,0
