# One (school, season) record. Hand-maintained — no automated process writes here.
#   source=history       per-season W-L-T. Covers 1936->present for every program,
#     plus 1869-1935 wherever game-level records survive (every game in which one
#     side is a current FBS program contributes a W / L / T; a tie for both sides
#     on equal scores). Sparse before ~1905, so those early totals sit below the book.
#   source=ncaa          one row (1935) per program in _staging_wins_ncaa.csv; sized so the
#     all-time OFFICIAL total (as-played minus wins_vacated) matches the NCAA "FBS
#     Records" book through its `through` year, with the live current season on top.
#   source=ncaa-history  per-season rows from a program's NCAA stats.org team
#     history page (stats.ncaa.org/teams/history), used where we hold no game-level
#     data and the program is not in the FBS Records book (Jacksonville St., Sam
#     Houston, Missouri St. — their full pre-2003 record).
#   source=manual        any hand rows.
# A tie counts as half a win in win %.
# wins_vacated / losses_vacated: NCAA-vacated results - removed only in the
#   "NCAA official" wins toggle; the trajectory and default view use as-played.
school,season,wins,losses,ties,wins_vacated,losses_vacated,vacated_note,source
# --- 6 programs added Aug 2026 (JMU, Jax State, Sam Houston, Kennesaw, Delaware, Missouri State) ---
# Per-season 2003-2025 rows; a few clearly-partial seasons hand-corrected (Jax State 2013, Sam Houston 2008 & 2022).
# The season=1935 row is a pre-2003 all-time LUMP (W-L-T) from published program records —
#   VERIFY against each media guide. Kennesaw State (football since 2015) needs no lump.
Air Force,1956,0,1,0,,,,history
Air Force,1957,3,6,1,,,,history
Air Force,1958,9,0,2,,,,history
Air Force,1959,5,4,1,,,,history
Air Force,1960,4,6,0,,,,history
Air Force,1961,3,7,0,,,,history
Air Force,1962,5,5,0,,,,history
Air Force,1963,7,4,0,,,,history
Air Force,1964,4,5,1,,,,history
Air Force,1965,3,6,1,,,,history
Air Force,1966,4,6,0,,,,history
Air Force,1967,2,6,2,,,,history
Air Force,1968,7,3,0,,,,history
Air Force,1969,6,4,0,,,,history
Air Force,1970,9,3,0,,,,history
Air Force,1971,6,4,0,,,,history
Air Force,1972,6,4,0,,,,history
Air Force,1973,6,4,0,,,,history
Air Force,1974,2,9,0,,,,history
Air Force,1975,2,8,1,,,,history
Air Force,1976,4,7,0,,,,history
Air Force,1977,2,8,1,,,,history
Air Force,1978,3,8,0,,,,history
Air Force,1979,2,9,0,,,,history
Air Force,1980,2,9,1,,,,history
Air Force,1981,4,7,0,,,,history
Air Force,1982,8,5,0,,,,history
Air Force,1983,10,2,0,,,,history
Air Force,1984,8,4,0,,,,history
Air Force,1985,12,1,0,,,,history
Air Force,1986,6,5,0,,,,history
Air Force,1987,9,4,0,,,,history
Air Force,1988,5,7,0,,,,history
Air Force,1989,8,4,1,,,,history
Air Force,1990,7,5,0,,,,history
Air Force,1991,10,3,0,,,,history
Air Force,1992,7,5,0,,,,history
Air Force,1993,4,8,0,,,,history
Air Force,1994,8,4,0,,,,history
Air Force,1995,8,5,0,,,,history
Air Force,1996,6,5,0,,,,history
Air Force,1997,10,3,0,,,,history
Air Force,1998,12,1,0,,,,history
Air Force,1999,6,5,0,,,,history
Air Force,2000,9,3,0,,,,history
Air Force,2001,6,6,0,,,,history
Air Force,2002,8,5,0,,,,history
Air Force,2003,7,5,0,,,,history
Air Force,2004,5,6,0,,,,history
Air Force,2005,4,7,0,,,,history
Air Force,2006,4,8,0,,,,history
Air Force,2007,9,4,0,,,,history
Air Force,2008,8,5,0,,,,history
Air Force,2009,8,5,0,,,,history
Air Force,2010,9,4,0,,,,history
Air Force,2011,7,6,0,,,,history
Air Force,2012,6,7,0,,,,history
Air Force,2013,2,10,0,,,,history
Air Force,2014,10,3,0,,,,history
Air Force,2015,8,6,0,,,,history
Air Force,2016,10,3,0,,,,history
Air Force,2017,5,7,0,,,,history
Air Force,2018,5,7,0,,,,history
Air Force,2019,11,2,0,,,,history
Air Force,2020,3,3,0,,,,history
Air Force,2021,10,3,0,,,,history
Air Force,2022,10,3,0,,,,history
Air Force,2023,9,4,0,,,,history
Air Force,2024,5,7,0,,,,history
Air Force,2025,4,8,0,,,,history
Akron,1913,1,0,0,,,,history
Akron,1936,0,0,0,,,,history
Akron,1937,0,0,0,,,,history
Akron,1938,0,1,0,,,,history
Akron,1939,0,0,0,,,,history
Akron,1940,0,1,0,,,,history
Akron,1941,0,0,0,,,,history
Akron,1942,0,0,0,,,,history
Akron,1946,0,0,0,,,,history
Akron,1947,0,0,0,,,,history
Akron,1948,0,0,0,,,,history
Akron,1949,0,0,0,,,,history
Akron,1950,0,0,0,,,,history
Akron,1951,0,0,0,,,,history
Akron,1952,0,0,0,,,,history
Akron,1953,0,0,0,,,,history
Akron,1954,0,0,0,,,,history
Akron,1955,0,0,0,,,,history
Akron,1956,0,0,0,,,,history
Akron,1957,0,0,0,,,,history
Akron,1958,0,0,0,,,,history
Akron,1959,0,0,0,,,,history
Akron,1960,0,0,0,,,,history
Akron,1961,0,0,0,,,,history
Akron,1962,0,0,0,,,,history
Akron,1963,0,0,0,,,,history
Akron,1964,0,0,0,,,,history
Akron,1965,0,0,0,,,,history
Akron,1966,0,1,0,,,,history
Akron,1967,1,1,0,,,,history
Akron,1968,0,1,0,,,,history
Akron,1969,1,0,0,,,,history
Akron,1970,0,1,0,,,,history
Akron,1971,1,0,0,,,,history
Akron,1972,0,0,1,,,,history
Akron,1973,0,3,0,,,,history
Akron,1974,0,3,0,,,,history
Akron,1975,7,4,0,,,,history
Akron,1976,4,2,0,,,,history
Akron,1977,2,2,0,,,,history
Akron,1978,0,2,0,,,,history
Akron,1979,2,2,0,,,,history
Akron,1980,1,2,0,,,,history
Akron,1981,1,1,0,,,,history
Akron,1982,1,0,0,,,,history
Akron,1983,2,0,0,,,,history
Akron,1984,0,2,0,,,,history
Akron,1985,2,1,0,,,,history
Akron,1986,1,1,0,,,,history
Akron,1987,4,7,0,,,,history
Akron,1988,5,6,0,,,,history
Akron,1989,6,4,1,,,,history
Akron,1990,3,7,1,,,,history
Akron,1991,5,6,0,,,,history
Akron,1992,7,3,1,,,,history
Akron,1993,5,6,0,,,,history
Akron,1994,1,10,0,,,,history
Akron,1995,2,9,0,,,,history
Akron,1996,4,7,0,,,,history
Akron,1997,2,9,0,,,,history
Akron,1998,4,7,0,,,,history
Akron,1999,7,4,0,,,,history
Akron,2000,6,5,0,,,,history
Akron,2001,4,7,0,,,,history
Akron,2002,4,8,0,,,,history
Akron,2003,7,5,0,,,,history
Akron,2004,6,5,0,,,,history
Akron,2005,7,6,0,,,,history
Akron,2006,5,7,0,,,,history
Akron,2007,4,8,0,,,,history
Akron,2008,5,7,0,,,,history
Akron,2009,3,9,0,,,,history
Akron,2010,1,11,0,,,,history
Akron,2011,1,11,0,,,,history
Akron,2012,1,11,0,,,,history
Akron,2013,5,7,0,,,,history
Akron,2014,5,7,0,,,,history
Akron,2015,8,5,0,,,,history
Akron,2016,5,7,0,,,,history
Akron,2017,7,7,0,,,,history
Akron,2018,4,8,0,,,,history
Akron,2019,0,12,0,,,,history
